分类,English,德语/German,意大利语/Italian,西班牙语/Spanish,法语/French,波兰语/Polish,荷兰语/Dutch,爱尔兰语/Irish,日语/Japanese,阿拉伯语/Arabic,葡萄牙语/Portuguese
账户,Update Email Preference,E-Mail-Einstellungen aktualisieren,Aggiorna preferenze email,Actualizar preferencias de correo,Mettre à jour les préférences email,Zaktualizuj preferencje e-mail,E-mailvoorkeuren bijwerken,Nuashonraigh Sainroghanna Ríomhphoist,メール設定を更新,تحديث تفضيلات البريد الإلكتروني,Atualizar preferências de e-mail
售前,Product & Compatibility,Produkt & Kompatibilität,Prodotto e compatibilità,Producto y compatibilidad,Produit et compatibilité,Produkt i kompatybilność,Product en compatibiliteit,Táirge & Comhoiriúnacht,製品と互換性,المنتج والتوافق,Produto e compatibilidade
售前,Shipping & Delivery,Versand & Lieferung,Spedizione e consegna,Envío y entrega,Expédition et livraison,Wysyłka i dostawa,Verzending en levering,Loingseoireacht & Seachadadh,発送と配送,الشحن والتوصيل,Envio e entrega
售前,Warranty Policy,Garantiebestimmungen,Politica di garanzia,Política de garantía,Politique de garantie,Polityka gwarancyjna,Garantiebeleid,Polasaí Barántais,保証ポリシー,سياسة الضمان,Política de garantia
售前,Payment & Coupon Issues,Zahlungs- & Gutscheinprobleme,Problemi di pagamento e coupon,Problemas de pago y cupones,Problèmes de paiement et de coupons,Problemy z płatnościami i kuponami,Betalings- en couponproblemen,Saincheisteanna Íocaíochta & Cúpóin,支払い・クーポンの問題,مشكلات الدفع والكوبونات,Problemas de pagamento e cupons
售前,Is it compatible with my device?,Ist es mit meinem Gerät kompatibel?,È compatibile con il mio dispositivo?,¿Es compatible con mi dispositivo?,Est-il compatible avec mon appareil ?,Czy jest kompatybilny z moim urządzeniem?,Is het compatibel met mijn apparaat?,An bhfuil sé comhoiriúnach le mo ghléas?,私のデバイスと互換性がありますか？,هل هو متوافق مع جهازي؟,É compatível com meu dispositivo?
售前,Charging speed & Protocol,Ladegeschwindigkeit & Protokoll,Velocità di ricarica e protocollo,Velocidad de carga y protocolo,Vitesse de charge et protocole,Szybkość ładowania i protokół,Laadsnelheid en protocol,Luas Luchtaithe & Prótacal,充電速度とプロトコル,سرعة الشحن والبروتوكول,Velocidade de carregamento e protocolo
售前,Flight safety & Size,Flugsicherheit & Größe,Sicurezza in volo e dimensioni,Seguridad en vuelo y tamaño,Sécurité aérienne et taille,Bezpieczeństwo lotnicze i rozmiar,Vliegveiligheid en formaat,Sábháilteacht Eitilte & Méid,航空安全とサイズ,السلامة الجوية والحجم,Segurança em voo e tamanho
售前,Other Product Specs,Weitere Produktspezifikationen,Altre specifiche del prodotto,Otras especificaciones del producto,Autres spécifications du produit,Inne specyfikacje produktu,Andere productspecificaties,Sonraíochtaí Táirge Eile,その他の製品仕様,مواصفات المنتج الأخرى,Outras especificações do produto
售前,Check Shipping Policy Now,Versandrichtlinien jetzt prüfen,Controlla la politica di spedizione ora,Consultar política de envío ahora,Vérifier la politique d'expédition maintenant,Sprawdź politykę wysyłki teraz,Bekijk verzendbeleid nu,Seiceáil Polasaí Loingseoireachta Anois,配送ポリシーを今すぐ確認,تحقق من سياسة الشحن الآن,Verificar política de envio agora
售前,Check Warranty Policy Now,Garantiebestimmungen jetzt prüfen,Controlla la politica di garanzia ora,Consultar política de garantía ahora,Vérifier la politique de garantie maintenant,Sprawdź politykę gwarancyjną teraz,Bekijk garantiebeleid nu,Seiceáil Polasaí Barántais Anois,保証ポリシーを今すぐ確認,تحقق من سياسة الضمان الآن,Verificar política de garantia agora
售前,My coupon doesn't work,Mein Gutschein funktioniert nicht,Il mio coupon non funziona,Mi cupón no funciona,Mon coupon ne fonctionne pas,Mój kupon nie działa,Mijn coupon werkt niet,Níl mo chúpón ag obair,クーポンが使えない,الكوبون الخاص بي لا يعمل,Meu cupom não funciona
售前,Payment methods issue,Problem mit Zahlungsmethoden,Problema con i metodi di pagamento,Problema con métodos de pago,Problème de moyens de paiement,Problem z metodami płatności,Probleem met betaalmethoden,Fadhb le Modhanna Íocaíochta,支払い方法の問題,مشكلة في طرق الدفع,Problema com métodos de pagamento
商务,Influencer / Content Creator,Influencer / Content Creator,Influencer / Creatore di contenuti,Influencer / Creador de contenido,Influenceur / Créateur de contenu,Influencer / Twórca treści,Influencer / Content creator,Tioncharóir / Cruthaitheoir Ábhair,インフルエンサー / コンテンツクリエイター,مؤثر / صانع محتوى,Influenciador / Criador de conteúdo
商务,Brand Collaboration,Markenkooperation,Collaborazione con il marchio,Colaboración de marca,Collaboration de marque,Współpraca z marką,Merksamenwerking,Comhoibriú Branda,ブランドコラボレーション,تعاون مع العلامة التجارية,Colaboração de marca
商务,B2B / Wholesale / Distribution,B2B / Großhandel / Vertrieb,B2B / Commercio all'ingrosso / Distribuzione,B2B / Mayorista / Distribución,B2B / Vente en gros / Distribution,B2B / Hurt / Dystrybucja,B2B / Groothandel / Distributie,B2B / Mórdhíol / Dáileadh,B2B / 卸売 / 流通,B2B / البيع بالجملة / التوزيع,B2B / Atacado / Distribuição
商务,Platform,Plattform,Piattaforma,Plataforma,Plateforme,Platforma,Platform,Ardán,プラットフォーム,المنصة,Plataforma
商务,YouTube,YouTube,YouTube,YouTube,YouTube,YouTube,YouTube,YouTube,YouTube,يوتيوب,YouTube
商务,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,تيك توك,TikTok
商务,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,انستغرام,Instagram
商务,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,أمازون,Amazon
商务,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,فيسبوك,Facebook
商务,Other,Andere,Altro,Otro,Autre,Inne,Anders,Eile,その他,أخرى,Outro
商务,Collaboration type,Art der Zusammenarbeit,Tipo di collaborazione,Tipo de colaboración,Type de collaboration,Rodzaj współpracy,Type samenwerking,Cineál Comhoibrithe,コラボレーションの種類,نوع التعاون,Tipo de colaboração
商务,Sponsorship,Sponsoring,Sponsorizzazione,Patrocinio,Sponsoring,Sponsoring,Sponsoring,Urraíocht,スポンサーシップ,رعاية,Patrocínio
商务,Affiliate Marketing,Affiliate-Marketing,Marketing di affiliazione,Marketing de afiliados,Marketing d'affiliation,Marketing afiliacyjny,Affiliate marketing,Margaithe Cleamhnaithe,アフィリエイトマーケティング,التسويق بالعمولة,Marketing de afiliados
商务,Product Seeding/Gifting,Produkt-Seeding / Geschenke,Invio prodotti / Omaggi,Envío de productos / Regalos,Envoi de produits / Cadeaux,Wysyłka produktów / Prezenty,Product seeding / Geschenken,Síolrú Táirgí / Bronntanais,製品シーディング / ギフティング,إرسال المنتجات / الهدايا,Envio de produtos / Brindes
商务,Co-created Product,Gemeinsam entwickeltes Produkt,Prodotto co-creato,Producto co-creado,Produit co-créé,Współtworzony produkt,Co-creatie product,Táirge Cómhchruthaithe,共同開発製品,منتج تم إنشاؤه بشكل مشترك,Produto co-criado
商务,Channel/Social link,Kanal-/Social-Media-Link,Link canale/social,Enlace de canal/red social,Lien chaîne/réseau social,Link do kanału/mediów społecznościowych,Kanaal-/socialmedialink,Nasc Cainéil/Shóisialta,チャンネル/ソーシャルリンク,رابط القناة / وسائل التواصل,Link do canal/rede social
售后,Order & Product support,Bestell- & Produktsupport,Supporto ordini e prodotti,Soporte de pedidos y productos,Assistance commandes et produits,Wsparcie zamówień i produktów,Order- en productondersteuning,Tacaíocht Ordaithe & Táirgí,注文・製品サポート,دعم الطلبات والمنتجات,Suporte de pedidos e produtos
售后,Product Defect / Issue,Produktdefekt / Problem,Difetto / Problema del prodotto,Defecto / Problema del producto,Défaut / Problème du produit,Wada / Problem z produktem,Productdefect / Probleem,Locht / Saincheist Táirge,製品不良 / 問題,عيب / مشكلة في المنتج,Defeito / Problema do produto
售后,Order & Shipping,Bestellung & Versand,Ordine e spedizione,Pedido y envío,Commande et expédition,Zamówienie i wysyłka,Bestelling en verzending,Ordú & Loingseoireacht,注文と配送,الطلب والشحن,Pedido e envio
售后,"💡 Purchased through Amazon, Offline Shops or Other platform? Contact their support team first for the fastest refund and replacement. Still need help? We're here for you. Submit the form below and we'll be happy to assist.","💡 Über Amazon, Ladengeschäfte oder andere Plattformen gekauft? Kontaktieren Sie zuerst deren Support-Team für die schnellste Rückerstattung und Ersatz. Brauchen Sie trotzdem Hilfe? Wir sind für Sie da. Füllen Sie das untenstehende Formular aus und wir helfen Ihnen gerne weiter.","💡 Acquistato tramite Amazon, negozi fisici o altra piattaforma? Contatta prima il loro team di supporto per il rimborso e la sostituzione più rapidi. Hai ancora bisogno di aiuto? Siamo qui per te. Invia il modulo qui sotto e saremo lieti di assisterti.","💡 ¿Compraste a través de Amazon, tiendas físicas u otra plataforma? Contacta primero a su equipo de soporte para el reembolso y reemplazo más rápido. ¿Aún necesitas ayuda? Estamos aquí para ti. Envía el formulario a continuación y estaremos encantados de ayudarte.","💡 Acheté via Amazon, magasins physiques ou autre plateforme ? Contactez d'abord leur équipe d'assistance pour le remboursement et le remplacement les plus rapides. Encore besoin d'aide ? Nous sommes là pour vous. Soumettez le formulaire ci-dessous et nous serons ravis de vous aider.","💡 Kupiłeś przez Amazon, sklepy stacjonarne lub inną platformę? Skontaktuj się najpierw z ich zespołem wsparcia, aby uzyskać najszybszy zwrot i wymianę. Nadal potrzebujesz pomocy? Jesteśmy tutaj dla Ciebie. Prześlij poniższy formularz, a chętnie pomożemy.","💡 Gekocht via Amazon, fysieke winkels of een ander platform? Neem eerst contact op met hun supportteam voor de snelste terugbetaling en vervanging. Nog steeds hulp nodig? We zijn er voor je. Dien het onderstaande formulier in en we helpen je graag verder.","💡 Ceannaithe trí Amazon, Siopaí As Líne nó ardán eile? Déan teagmháil lena bhfoireann tacaíochta ar dtús chun an t-aisíocaíocht agus an t-athsholáthar is tapúla a fháil. Fós ag teastáil cabhair? Táimid anseo duit. Cuir isteach an fhoirm thíos agus beimid sásta cabhrú.",💡 Amazon、実店舗、その他のプラットフォームで購入されましたか？最速の返金・交換については、まず各販売元のサポートチームにお問い合わせください。それでもサポートが必要ですか？私たちがお手伝いします。以下のフォームを送信してください。,💡 هل اشتريت عبر أمازون أو المتاجر الفعلية أو منصة أخرى؟ اتصل بفريق الدعم الخاص بهم أولاً للحصول على أسرع استرداد واستبدال. هل ما زلت بحاجة إلى مساعدة؟ نحن هنا من أجلك. أرسل النموذج أدناه وسنكون سعداء بمساعدتك.,"💡 Comprou pela Amazon, lojas físicas ou outra plataforma? Entre em contato primeiro com a equipe de suporte deles para o reembolso e substituição mais rápidos. Ainda precisa de ajuda? Estamos aqui por você. Envie o formulário abaixo e teremos prazer em ajudar."
售后,Track Package / Not Received,Paket verfolgen / Nicht erhalten,Traccia pacco / Non ricevuto,Rastrear paquete / No recibido,Suivre le colis / Non reçu,Śledź przesyłkę / Nie otrzymano,Pakket volgen / Niet ontvangen,Rianaigh Beartán / Nár Fuarthas,荷物の追跡 / 未着,تتبع الطرد / لم يتم الاستلام,Rastrear pacote / Não recebido
售后,Package Lost,Paket verloren,Pacco smarrito,Paquete perdido,Colis perdu,Zagubiona przesyłka,Pakket verloren,Beartán Caillte,荷物の紛失,الطرد مفقود,Pacote perdido
售后,Invoice,Rechnung,Fattura,Factura,Facture,Faktura,Factuur,Sonrasc,請求書,فاتورة,Nota fiscal
售后,Hassle‑Free Returns,Problemlose Rücksendung,Resi senza problemi,Devoluciones sin complicaciones,Retours sans tracas,Bezproblemowe zwroty,Probleemloos retourneren,Tuairisceáin Gan Stró,手間のかからない返品,إرجاع سهل بدون متاعب,Devoluções sem complicações
售后,Cancel Order,Bestellung stornieren,Annulla ordine,Cancelar pedido,Annuler la commande,Anuluj zamówienie,Bestelling annuleren,Cealaigh Ordú,注文をキャンセル,إلغاء الطلب,Cancelar pedido
售后,Change Address,Adresse ändern,Cambia indirizzo,Cambiar dirección,Changer l'adresse,Zmień adres,Adres wijzigen,Athraigh Seoladh,住所変更,تغيير العنوان,Alterar endereço
售后,Wrong Item / Missing Parts / Physical Damage,Falscher Artikel / Fehlende Teile / Physischer Schaden,Articolo sbagliato / Parti mancanti / Danni fisici,Artículo incorrecto / Piezas faltantes / Daño físico,Mauvais article / Pièces manquantes / Dommages physiques,Niewłaściwy przedmiot / Brakujące części / Uszkodzenie fizyczne,Verkeerd artikel / Ontbrekende onderdelen / Fysieke schade,Mír Mhícheart / Páirteanna ar Iarraidh / Damáiste Fisiciúil,誤った商品 / 部品不足 / 物理的損傷,المنتج خاطئ / أجزاء مفقودة / تلف مادي,Item errado / Peças faltando / Dano físico
售后,Duplicate Charge / Billing Issue,Doppelte Abbuchung / Abrechnungsproblem,Addebito duplicato / Problema di fatturazione,Cargo duplicado / Problema de facturación,Double facturation / Problème de facturation,Podwójne obciążenie / Problem z rozliczeniem,Dubbele afschrijving / Facturatieprobleem,Muirear Dúblach / Saincheist Billeála,二重請求 / 請求の問題,خصم مزدوج / مشكلة في الفوترة,Cobrança duplicada / Problema de faturamento
售后,💡 Find your tracking number in your order details and Track your order now on the INIU website.,💡 Finden Sie Ihre Sendungsnummer in Ihren Bestelldetails und verfolgen Sie Ihre Bestellung jetzt auf der INIU-Website.,💡 Trova il tuo numero di tracciamento nei dettagli dell'ordine e traccia il tuo ordine ora sul sito INIU.,💡 Encuentra tu número de seguimiento en los detalles de tu pedido y rastrea tu pedido ahora en el sitio web de INIU.,💡 Trouvez votre numéro de suivi dans les détails de votre commande et suivez votre commande dès maintenant sur le site INIU.,💡 Znajdź swój numer śledzenia w szczegółach zamówienia i śledź swoje zamówienie teraz na stronie INIU.,💡 Vind je trackingnummer in je bestelgegevens en volg je bestelling nu op de INIU-website.,💡 Faigh d'uimhir rianaithe i sonraí d'ordaithe agus rianaigh d'ordú anois ar shuíomh gréasáin INIU.,💡 注文詳細で追跡番号を見つけて、INIUウェブサイトで今すぐ注文を追跡してください。,💡 ابحث عن رقم التتبع الخاص بك في تفاصيل الطلب وتتبع طلبك الآن على موقع INIU.,💡 Encontre seu número de rastreamento nos detalhes do pedido e rastreie seu pedido agora no site da INIU.
售后,💡 For orders not yet shipped only.,💡 Nur für noch nicht versandte Bestellungen.,💡 Solo per ordini non ancora spediti.,💡 Solo para pedidos aún no enviados.,💡 Uniquement pour les commandes non encore expédiées.,💡 Tylko dla zamówień jeszcze nie wysłanych.,💡 Alleen voor nog niet verzonden bestellingen.,💡 Le haghaidh orduithe nár seoladh go fóill amháin.,💡 未発送の注文のみ対象です。,💡 فقط للطلبات التي لم يتم شحنها بعد.,💡 Apenas para pedidos ainda não enviados.
产品,Product category,Produktkategorie,Categoria prodotto,Categoría de producto,Catégorie de produit,Kategoria produktu,Productcategorie,Catagóir Táirge,製品カテゴリ,فئة المنتج,Categoria do produto
产品,Power Bank,Powerbank,Power bank,Batería externa,Batterie externe,Power bank,Powerbank,Banc Cumhachta,モバイルバッテリー,بنك طاقة,Power bank
产品,Cable,Kabel,Cavo,Cable,Câble,Kabel,Kabel,Cábla,ケーブル,كابل,Cabo
产品,Wireless Charger,Kabelloses Ladegerät,Caricatore wireless,Cargador inalámbrico,Chargeur sans fil,Ładowarka bezprzewodowa,Draadloze oplader,Luchtaire Gan Sreang,ワイヤレス充電器,شاحن لاسلكي,Carregador sem fio
产品,Wall Charger,Wandladegerät,Caricatore da parete,Cargador de pared,Chargeur mural,Ładowarka ścienna,Wandoplader,Luchtaire Balla,壁掛け充電器,شاحن جداري,Carregador de parede
产品,Car Charger,Auto-Ladegerät,Caricatore da auto,Cargador de coche,Chargeur de voiture,Ładowarka samochodowa,Auto-oplader,Luchtaire Gluaisteáin,車載充電器,شاحن سيارة,Carregador de carro
产品,Product model / link you are interested in,"Produktmodell / Link, an dem Sie interessiert sind",Modello/link del prodotto di tuo interesse,Modelo/enlace del producto que te interesa,Modèle/lien du produit qui vous intéresse,"Model/link produktu, którym jesteś zainteresowany",Productmodel/link waarin je geïnteresseerd bent,Samhail/nasc táirge a bhfuil suim agat ann,興味のある製品モデル / リンク,طراز المنتج / الرابط الذي تهتم به,Modelo/link do produto de seu interesse
产品,Estimated Order Quantity,Geschätzte Bestellmenge,Quantità ordine stimata,Cantidad estimada del pedido,Quantité de commande estimée,Szacowana ilość zamówienia,Geschatte bestelhoeveelheid,Méid Measta Ordaithe,推定注文数量,الكمية المقدرة للطلب,Quantidade estimada do pedido
产品,Message,Nachricht,Messaggio,Mensaje,Message,Wiadomość,Bericht,Teachtaireacht,メッセージ,رسالة,Mensagem
产品,Attachment,Anhang,Allegato,Archivo adjunto,Pièce jointe,Załącznik,Bijlage,Iatán,添付ファイル,مرفق,Anexo
故障,Power bank issues,Powerbank-Probleme,Problemi con il power bank,Problemas con la batería externa,Problèmes de batterie externe,Problemy z power bankiem,Powerbank-problemen,Saincheisteanna Bainc Cumhachta,モバイルバッテリーの問題,مشكلات بنك الطاقة,Problemas com o power bank
故障,Won't charge my device,Lädt mein Gerät nicht,Non carica il mio dispositivo,No carga mi dispositivo,Ne charge pas mon appareil,Nie ładuje mojego urządzenia,Laadt mijn apparaat niet op,Ní luchtaíonn mo ghléas,デバイスを充電しない,لا يشحن جهازي,Não carrega meu dispositivo
故障,Won't recharge,Lädt sich nicht wieder auf,Non si ricarica,No se recarga,Ne se recharge pas,Nie ładuje się ponownie,Laadt niet opnieuw op,Ní athluchtaíonn,再充電しない,لا يعيد الشحن,Não recarrega
故障,Slow charge,Langsames Laden,Ricarica lenta,Carga lenta,Charge lente,Wolne ładowanie,Langzaam opladen,Luchtú Mall,充電が遅い,شحن بطيء,Carregamento lento
故障,Battery / display issue,Batterie- / Anzeigeproblem,Problema batteria / display,Problema de batería / pantalla,Problème de batterie / affichage,Problem z baterią / wyświetlaczem,Batterij- / displayprobleem,Saincheist Ceallraí / Taispeána,バッテリー / ディスプレイの問題,مشكلة البطارية / الشاشة,Problema de bateria / display
故障,Getting too hot,Wird zu heiß,Si surriscalda troppo,Se calienta demasiado,Chauffe trop,Za bardzo się nagrzewa,Wordt te heet,Ag éirí ró-the,熱くなりすぎる,يسخن كثيرًا,Fica muito quente
故障,Magnetic connection issue,Problem mit Magnetverbindung,Problema di connessione magnetica,Problema de conexión magnética,Problème de connexion magnétique,Problem z połączeniem magnetycznym,Probleem met magnetische verbinding,Saincheist Nasc Maighnéadach,磁気接続の問題,مشكلة الاتصال المغناطيسي,Problema de conexão magnética
故障,Cable / port / physical damaged,Kabel / Anschluss / physisch beschädigt,Cavo / porta / danni fisici,Cable / puerto / daño físico,Câble / port / endommagé physiquement,Kabel / port / uszkodzenie fizyczne,Kabel / poort / fysiek beschadigd,Cábla / port / damáiste fisiciúil,ケーブル / ポート / 物理的損傷,كابل / منفذ / تلف مادي,Cabo / porta / dano físico
故障,Compablity issue,Kompatibilitätsproblem,Problema di compatibilità,Problema de compatibilidad,Problème de compatibilité,Problem ze zgodnością,Compatibiliteitsprobleem,Saincheist Comhoiriúnachta,互換性の問題,مشكلة التوافق,Problema de compatibilidade
故障,Something else,Etwas anderes,Qualcos'altro,Algo más,Autre chose,Coś innego,Iets anders,Rud éigin eile,その他,شيء آخر,Outra coisa
故障排查,⚡Won't charge my device? - Let's see if we can fix this quickly.  · Try another cable/ output port  · Try a new device and share your device's model with us  · Make sure the power bank has enough power,"⚡Gerät wird nicht geladen? – Lassen Sie uns sehen, ob wir das schnell beheben können. · Anderes Kabel / anderen Ausgangsport ausprobieren · Neues Gerät testen und Modell mitteilen · Sicherstellen, dass die Powerbank genug Ladung hat",⚡Il dispositivo non si carica? – Vediamo se possiamo risolverlo rapidamente. · Prova un altro cavo / porta di uscita · Prova un nuovo dispositivo e condividi il modello con noi · Assicurati che il power bank abbia abbastanza carica,⚡¿No carga tu dispositivo? – Veamos si podemos solucionarlo rápidamente. · Prueba otro cable / puerto de salida · Prueba un nuevo dispositivo y comparte el modelo con nosotros · Asegúrate de que la batería externa tenga suficiente carga,⚡L'appareil ne se charge pas ? – Voyons si nous pouvons résoudre cela rapidement. · Essayez un autre câble / port de sortie · Essayez un nouvel appareil et partagez son modèle avec nous · Assurez-vous que la batterie externe a suffisamment de charge,"⚡Urządzenie się nie ładuje? – Sprawdźmy, czy możemy to szybko naprawić. · Wypróbuj inny kabel / port wyjściowy · Wypróbuj nowe urządzenie i podziel się z nami jego modelem · Upewnij się, że power bank ma wystarczającą moc",⚡Apparaat laadt niet op? – Laten we kijken of we dit snel kunnen oplossen. · Probeer een andere kabel / uitgangspoort · Probeer een nieuw apparaat en deel het model met ons · Zorg dat de powerbank voldoende stroom heeft,⚡Ní luchtaíonn mo ghléas? – Féachaimis an féidir linn é seo a réiteach go tapa. · Bain triail as cábla / port aschuir eile · Bain triail as gléas nua agus roinn samhail do ghléis linn · Cinntigh go bhfuil go leor cumhachta sa bhanc cumhachta,⚡デバイスが充電されない？––すぐに解決できるか確認しましょう。· 別のケーブル / 出力ポートを試す · 別のデバイスを試し、デバイスのモデルをお知らせください · モバイルバッテリーに十分な電力があることを確認する,⚡جهازك لا يشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة. · جرب كابل / منفذ إخراج آخر · جرب جهازًا جديدًا وشاركنا طراز جهازك · تأكد من أن بنك الطاقة لديه طاقة كافية,⚡Seu dispositivo não carrega? – Vamos ver se podemos resolver isso rapidamente. · Tente outro cabo / porta de saída · Tente um novo dispositivo e compartilhe o modelo conosco · Certifique-se de que o power bank tenha carga suficiente
